#2  #6  #23;;;;;;;;;;;;;;;;;;
Field 2;#2;;Swimstart at 0500;;;;;;;;;;;;;;;
Field 2;#4;;Temperature pill activated and swallowed evening before;;;;;;;;;;;;;;;
Field 2;#23;;;;;;;;;;;;;;;;;
Time Zone;UTC+2;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Sensor n°1;00.00.24.BF;;;;;;Sensor n°2;00.00.26.B6;;;;;;Sensor n°3;00.00.29.B4;;;
Sample number;Date;Hour;Temperature (°C);Status;;;Sample number;Date;Hour;Temperature (°C);Status;;;Sample number;Date;Hour;Temperature (°C);Status
1;04/08/2017;14:07:07;23;;;;1;04/08/2017;14:18:43;22,8;;;;1;04/08/2017;14:13:41;22,5;
2;04/08/2017;14:07:37;23,1;;;;2;04/08/2017;14:19:13;23;;;;2;04/08/2017;14:14:11;22,7;
3;04/08/2017;14:08:07;23,8;;;;3;04/08/2017;14:19:43;23,5;;;;3;04/08/2017;14:14:41;22,7;
4;04/08/2017;14:08:37;23,4;;;;4;04/08/2017;14:20:13;23,3;;;;4;04/08/2017;14:16:40;23,2;
5;04/08/2017;14:09:06;23,1;;;;5;04/08/2017;14:20:43;23,4;;;;5;04/08/2017;14:18:39;22,4;
6;04/08/2017;14:11:01;22,7;;;;6;04/08/2017;14:21:13;23,3;;;;6;04/08/2017;14:20:38;22,1;
7;04/08/2017;14:13:01;22,1;;;;7;04/08/2017;14:23:12;25,1;Synchronized;;;7;04/08/2017;14:22:38;21,8;
8;04/08/2017;14:14:59;25,1;Synchronized;;;8;04/08/2017;14:25:10;25,1;Synchronized;;;8;04/08/2017;14:24:37;21,6;
9;04/08/2017;14:16:56;25,1;Synchronized;;;9;04/08/2017;14:27:09;22;;;;9;04/08/2017;14:26:36;21,4;
10;04/08/2017;14:18:54;21,1;;;;10;04/08/2017;14:29:09;21,8;;;;10;04/08/2017;14:28:36;21,4;
11;04/08/2017;14:20:54;21,1;;;;11;04/08/2017;14:31:09;21,5;;;;11;04/08/2017;14:30:35;21,2;
12;04/08/2017;14:22:53;21;;;;12;04/08/2017;14:33:10;21,4;;;;12;04/08/2017;14:32:35;21,2;
13;04/08/2017;14:24:52;20,9;;;;13;04/08/2017;14:35:10;21,3;;;;13;04/08/2017;14:34:34;21,1;
14;04/08/2017;14:26:52;20,8;;;;14;04/08/2017;14:37:10;21,2;;;;14;04/08/2017;14:36:34;21;
15;04/08/2017;14:28:51;20,8;;;;15;04/08/2017;14:39:11;25,1;Synchronized;;;15;04/08/2017;14:38:33;21;
16;04/08/2017;14:30:51;20,7;;;;16;04/08/2017;14:41:11;21,2;;;;16;04/08/2017;14:40:33;21,1;
17;04/08/2017;14:32:50;20,7;;;;17;04/08/2017;14:43:12;21,2;;;;17;04/08/2017;14:42:32;21;
18;04/08/2017;14:34:51;20,7;;;;18;04/08/2017;14:45:12;21;;;;18;04/08/2017;14:44:32;21;
19;04/08/2017;14:36:50;20,7;;;;19;04/08/2017;14:47:13;21,1;;;;19;04/08/2017;14:46:31;20,9;
20;04/08/2017;14:38:49;20,7;;;;20;04/08/2017;14:49:13;21,1;;;;20;04/08/2017;14:48:31;20,9;
21;04/08/2017;14:40:49;20,7;;;;21;04/08/2017;14:51:13;21;;;;21;04/08/2017;14:50:30;20,9;
22;04/08/2017;14:42:48;20,6;;;;22;04/08/2017;14:53:14;21;;;;22;04/08/2017;14:52:30;20,8;
23;04/08/2017;14:44:48;20,6;;;;23;04/08/2017;14:55:14;21;;;;23;04/08/2017;14:54:30;20,9;
24;04/08/2017;14:46:47;20,6;;;;24;04/08/2017;14:57:14;21;;;;24;04/08/2017;14:56:29;20,8;
25;04/08/2017;14:48:46;20,5;;;;25;04/08/2017;14:59:15;21;;;;25;04/08/2017;14:58:29;20,8;
26;04/08/2017;14:50:46;20,6;;;;26;04/08/2017;15:01:15;21,1;;;;26;04/08/2017;15:00:28;20,8;
27;04/08/2017;14:52:45;20,6;;;;27;04/08/2017;15:03:15;21,1;;;;27;04/08/2017;15:02:28;20,8;
28;04/08/2017;14:54:45;20,6;;;;28;04/08/2017;15:05:15;21;;;;28;04/08/2017;15:04:27;20,8;
29;04/08/2017;14:56:44;20,6;;;;29;04/08/2017;15:07:16;21;;;;29;04/08/2017;15:06:27;21;
30;04/08/2017;14:58:43;20,6;;;;30;04/08/2017;15:09:16;21,2;;;;30;04/08/2017;15:08:26;21;
31;04/08/2017;15:00:43;20,6;;;;31;04/08/2017;15:11:16;21,2;;;;31;04/08/2017;15:10:26;25,1;Synchronized
32;04/08/2017;15:02:42;20,7;;;;32;04/08/2017;15:13:16;21,3;;;;32;04/08/2017;15:12:25;21;
33;04/08/2017;15:04:42;20,6;;;;33;04/08/2017;15:15:17;21,2;;;;33;04/08/2017;15:14:25;21,1;
34;04/08/2017;15:06:41;20,7;;;;34;04/08/2017;15:17:17;21,3;;;;34;04/08/2017;15:16:24;21,1;
35;04/08/2017;15:08:41;20,7;;;;35;04/08/2017;15:19:17;21,3;;;;35;04/08/2017;15:18:24;21,2;
36;04/08/2017;15:10:40;20,7;;;;36;04/08/2017;15:21:17;21,4;;;;36;04/08/2017;15:20:23;21,2;
